train_type,train_size,test_type,test_size,train_gini,test_gini
BA,30,BA,75,0.9994919751067801,0.99999968
BA,30,BA,120,0.999893961720181,0.9999996800000002
BA,30,ER,30,0.9995539888497214,1.0
BA,30,ER,75,0.9998999774949364,1.0
BA,30,ER,120,0.99925,1.0
BA,30,SW,30,1.0,0.99960128
BA,30,SW,75,0.9999979999279973,0.9999996799999997
BA,30,SW,120,0.9999459965437787,0.9995686399999999
BA,30,Maier,30,0.9999739962554608,0.9981974399999998
BA,30,Maier,75,0.9999819991179568,0.9999977600000001
BA,30,Maier,120,0.9999899971091644,0.9999833599999999
BA,75,BA,30,1.0,0.98740384
BA,75,BA,120,1.0,1.0
BA,75,ER,30,1.0,0.9998028799999998
BA,75,ER,75,1.0,0.9999984000000002
BA,75,ER,120,1.0,1.0
BA,75,SW,30,1.0,0.98681296
BA,75,SW,75,1.0,0.9971150400000002
BA,75,SW,120,0.9999979981983786,0.99760048
BA,75,Maier,30,1.0,0.9963225599999999
BA,75,Maier,75,1.0,0.9999862400000001
BA,75,Maier,120,1.0,0.9999849599999999
BA,120,BA,30,1.0,0.46034976000000016
BA,120,BA,75,0.9999999999999998,0.9999571199999999
BA,120,ER,30,1.0,0.20185056
BA,120,ER,75,1.0,0.9989016000000002
BA,120,ER,120,1.0,1.0
BA,120,SW,30,1.0,0.6216305599999998
BA,120,SW,75,1.0,0.9959288
BA,120,SW,120,1.0,0.9986827200000001
BA,120,Maier,30,1.0,0.9849184
BA,120,Maier,75,1.0,0.9999999999999998
BA,120,Maier,120,1.0,1.0
ER,30,BA,30,1.0,0.9743846400000002
ER,30,BA,75,1.0,0.9934526400000001
ER,30,BA,120,1.0,0.99991808
ER,30,ER,75,0.9999999999999998,0.9999999999999998
ER,30,ER,120,1.0,1.0
ER,30,SW,30,1.0,0.93851152
ER,30,SW,75,1.0,0.9780377600000001
ER,30,SW,120,0.9999999999999998,0.9914409600000003
ER,30,Maier,30,1.0,0.9249638399999998
ER,30,Maier,75,1.0,0.9977063999999998
ER,30,Maier,120,1.0,0.85758848
ER,75,BA,30,1.0,0.96585856
ER,75,BA,75,1.0,0.9972729600000001
ER,75,BA,120,1.0,0.9963084799999999
ER,75,ER,30,1.0,1.0
ER,75,ER,120,1.0,1.0
ER,75,SW,30,1.0,0.98858256
ER,75,SW,75,1.0,0.9982297599999999
ER,75,SW,120,1.0,0.8662592
ER,75,Maier,30,1.0,0.39048496
ER,75,Maier,75,1.0,0.9691871999999999
ER,75,Maier,120,1.0,1.0
ER,120,BA,30,1.0,0.8614844799999999
