train_type,train_size,test_type,test_size,train_gini,test_gini
BA,30,BA,75,1.0,1.0
BA,30,BA,120,1.0,1.0
BA,30,ER,30,1.0,1.0
BA,30,ER,75,1.0,0.9999999999999998
BA,30,ER,120,0.9999999999999998,1.0
BA,30,SW,30,0.9999959953706485,1.0
BA,30,SW,75,1.0,1.0
BA,30,SW,120,1.0,1.0
BA,30,Maier,30,0.9999979986470855,0.9998972799999999
BA,30,Maier,75,1.0,0.9992502400000001
BA,30,Maier,120,1.0,1.0
BA,75,BA,30,1.0,1.0
BA,75,BA,120,1.0,1.0
BA,75,ER,30,1.0,1.0
BA,75,ER,75,1.0,1.0
BA,75,ER,120,1.0,1.0
BA,75,SW,30,1.0,1.0
BA,75,SW,75,1.0,1.0
BA,75,SW,120,1.0,1.0
BA,75,Maier,30,1.0,1.0
BA,75,Maier,75,1.0,0.99996288
BA,75,Maier,120,1.0,1.0
BA,120,BA,30,1.0,0.9999987199999998
BA,120,BA,75,1.0,1.0
BA,120,ER,30,1.0,1.0
BA,120,ER,75,0.9999999999999998,1.0
BA,120,ER,120,1.0,1.0
BA,120,SW,30,1.0,1.0
BA,120,SW,75,1.0,1.0
BA,120,SW,120,1.0,1.0
BA,120,Maier,30,1.0,0.9998060800000002
BA,120,Maier,75,1.0,0.9999904
BA,120,Maier,120,1.0,1.0
ER,30,BA,30,1.0,0.9993011199999999
ER,30,BA,75,1.0,0.9999990399999998
ER,30,BA,120,1.0,1.0
ER,30,ER,75,1.0,1.0
ER,30,ER,120,1.0,1.0
ER,30,SW,30,1.0,1.0
ER,30,SW,75,1.0,1.0
ER,30,SW,120,1.0,0.9994268800000001
ER,30,Maier,30,1.0,0.9982608000000002
ER,30,Maier,75,1.0,0.9988207999999998
ER,30,Maier,120,1.0,0.9882545599999999
ER,75,BA,30,1.0,0.9999360000000002
ER,75,BA,75,1.0,0.99996576
ER,75,BA,120,1.0,0.99958576
ER,75,ER,30,1.0,1.0
ER,75,ER,120,1.0,1.0
ER,75,SW,30,0.9999999999999998,0.9841255999999998
ER,75,SW,75,0.9999999999999998,0.9999651200000002
ER,75,SW,120,1.0,0.9965143999999999
ER,75,Maier,30,1.0,0.9989510400000001
ER,75,Maier,75,1.0,0.99996576
ER,75,Maier,120,1.0,1.0
ER,120,BA,30,1.0,0.9966726400000001
ER,120,BA,75,1.0,0.9987473600000001
ER,120,BA,120,1.0,0.9973231999999999
ER,120,ER,30,1.0,1.0
ER,120,ER,75,1.0,1.0
ER,120,SW,30,1.0,0.9994064
ER,120,SW,75,1.0,0.9986963199999999
ER,120,SW,120,1.0,0.9999926399999999
ER,120,Maier,30,1.0,0.9958864000000001
ER,120,Maier,75,0.9999999999999998,0.9995939199999999
ER,120,Maier,120,1.0,0.99988704
SW,30,BA,30,1.0,0.9999776
SW,30,BA,75,1.0,0.9999843199999998
SW,30,BA,120,1.0,0.9999980800000001
SW,30,ER,30,1.0,1.0
SW,30,ER,75,1.0,1.0
SW,30,ER,120,1.0,1.0
SW,30,SW,75,0.9999999999999998,1.0
SW,30,SW,120,1.0,1.0
SW,30,Maier,30,1.0,0.9966195200000001
SW,30,Maier,75,1.0,0.9997993599999999
SW,30,Maier,120,1.0,1.0
SW,75,BA,30,1.0,0.9999673600000001
SW,75,BA,75,1.0,0.99998688
SW,75,BA,120,1.0,1.0
SW,75,ER,30,1.0,1.0
SW,75,ER,75,1.0,1.0
SW,75,ER,120,1.0,1.0
SW,75,SW,30,1.0,1.0
SW,75,SW,120,1.0,1.0
SW,75,Maier,30,1.0,0.99941568
SW,75,Maier,75,1.0,0.99318496
SW,75,Maier,120,1.0,0.9999164799999998
SW,120,BA,30,0.9999999999999998,0.99997632
SW,120,BA,75,1.0,1.0
SW,120,BA,120,0.9999999999999998,1.0
SW,120,ER,30,1.0,1.0
SW,120,ER,75,1.0,1.0
SW,120,ER,120,0.9999999999999998,1.0
SW,120,SW,30,1.0,1.0
SW,120,SW,75,1.0,1.0
SW,120,Maier,30,1.0,0.9999270400000002
SW,120,Maier,75,1.0,0.99970336
SW,120,Maier,120,0.9999999999999998,0.9999999999999998
Maier,30,BA,30,1.0,1.0
Maier,30,BA,75,1.0,0.99999968
Maier,30,BA,120,1.0,0.9999999999999998
Maier,30,ER,30,1.0,1.0
Maier,30,ER,75,0.9999999999999998,1.0
Maier,30,ER,120,1.0,0.9999999999999998
Maier,30,SW,30,1.0,1.0
Maier,30,SW,75,1.0,1.0
Maier,30,SW,120,1.0,1.0
Maier,30,Maier,75,1.0,1.0
Maier,30,Maier,120,1.0,1.0
Maier,75,BA,30,1.0,0.9998652799999999
Maier,75,BA,75,1.0,0.9999804800000001
Maier,75,BA,120,1.0,0.99943264
Maier,75,ER,30,1.0,1.0
Maier,75,ER,75,1.0,1.0
Maier,75,ER,120,1.0,1.0
Maier,75,SW,30,1.0,1.0
Maier,75,SW,75,1.0,1.0
Maier,75,SW,120,1.0,1.0
Maier,75,Maier,30,1.0,0.9988814400000001
Maier,75,Maier,120,0.9999999999999998,1.0
Maier,120,BA,30,1.0,0.99990752
Maier,120,BA,75,1.0,0.99542704
Maier,120,BA,120,0.9999999999999998,1.0
Maier,120,ER,30,1.0,1.0
Maier,120,ER,75,1.0,1.0
Maier,120,ER,120,1.0,1.0
Maier,120,SW,30,1.0,1.0
Maier,120,SW,75,1.0,0.9999739200000002
Maier,120,SW,120,1.0,0.99999968
Maier,120,Maier,30,1.0,0.9978135999999997
Maier,120,Maier,75,1.0,0.9999977599999998
